iter	MultiClass
0	1.580204684
1	1.416141727
2	1.288461417
3	1.181696978
4	1.088601648
5	1.007625902
6	0.9394329742
7	0.8767743817
8	0.8226464962
9	0.7723502761
10	0.7270814325
11	0.6852621226
12	0.6475266171
13	0.6134472776
14	0.5815407331
15	0.5526765127
16	0.5257825434
17	0.5002326064
18	0.4762360689
19	0.4546505633
20	0.4342980135
21	0.4140054728
22	0.3964648966
23	0.3791733947
24	0.3635315571
25	0.3475958756
26	0.3333108642
27	0.3196419172
28	0.3072493718
29	0.2952735551
30	0.2836109506
31	0.2730229503
32	0.2614850813
33	0.2513395723
34	0.2425577936
35	0.2336850206
36	0.2251372835
37	0.2170714438
38	0.2096979687
39	0.2016794704
40	0.1943358741
41	0.1877831951
42	0.1815280512
43	0.175554217
44	0.1693580786
45	0.1633181548
46	0.1581931738
47	0.1529694761
48	0.1477268983
49	0.1427463057
50	0.1383750959
51	0.1337712441
52	0.1294866006
53	0.1255240255
54	0.1217099009
55	0.1177492922
56	0.1144073336
57	0.1110956661
58	0.1077421788
59	0.1047926842
60	0.1016161199
61	0.09878583409
62	0.09593584002
63	0.0932842308
64	0.09056536141
65	0.08809658182
66	0.08557566979
67	0.08333370154
68	0.08126631874
69	0.07911089966
70	0.07715465709
71	0.07534518237
72	0.0734297665
73	0.07141885311
74	0.06958982687
75	0.06784459317
76	0.06611397577
77	0.06448469381
78	0.06295922899
79	0.06146657042
80	0.05990881358
81	0.05852596051
82	0.05717014613
83	0.05568481945
84	0.05445372726
85	0.05328568508
86	0.05188564919
87	0.05073901414
88	0.04967686084
89	0.04864661418
90	0.04743832608
91	0.04634789943
92	0.04522068083
93	0.04433746637
94	0.04345092579
95	0.04247343554
96	0.04159715325
97	0.04069516879
98	0.03984422173
99	0.03906765466
100	0.0383141499
101	0.03759933095
102	0.03682566105
103	0.03598334365
104	0.03526262636
105	0.03460444133
106	0.03396039847
107	0.03324135286
108	0.032530797
109	0.03190026847
110	0.03130562079
111	0.03064502432
112	0.03009276261
113	0.02947131416
114	0.02897305296
115	0.02845960392
116	0.02798806155
117	0.02751722691
118	0.02699688181
119	0.0264908381
120	0.02605042518
121	0.02551988306
122	0.02510233293
123	0.02467271015
124	0.0242351918
125	0.02388045973
126	0.02347836464
127	0.02304922295
128	0.02263835513
129	0.02228256803
130	0.02197842085
131	0.02155611161
132	0.02117613289
133	0.02081623758
134	0.02048734612
135	0.02017440662
136	0.01984188696
137	0.01947835621
138	0.01911003862
139	0.01884474458
140	0.01858550803
141	0.01833185522
142	0.01807032111
143	0.0178229863
144	0.01757872948
145	0.01726952282
146	0.01698802715
147	0.01667266105
148	0.01640169473
149	0.01620198881
150	0.01596573098
151	0.0156952552
152	0.01541244175
153	0.01521416187
154	0.01501842216
155	0.01481373887
156	0.01458819954
157	0.01441823105
158	0.01421690831
159	0.01398997598
160	0.01381214085
161	0.01362305201
162	0.01347826865
163	0.01322163854
164	0.0130010445
165	0.01281197671
166	0.01266096684
167	0.01246045816
168	0.01225281867
169	0.01205617109
170	0.01186069495
171	0.01170904302
172	0.0115973744
173	0.01142839372
174	0.01124270946
175	0.01110681929
176	0.01098498372
177	0.01083663103
178	0.0106754856
179	0.01053378523
180	0.0104064502
181	0.01031149665
182	0.01014961465
183	0.01004247925
184	0.009933435545
185	0.009842597121
186	0.009735661936
187	0.009630902725
188	0.0095312263
189	0.009429365404
190	0.009335577943
191	0.009212116179
192	0.009079370949
193	0.008992478511
194	0.008879258167
195	0.008786991402
196	0.008694553896
197	0.008565732271
198	0.008496864085
199	0.00844702738
200	0.008329307651
201	0.008227725237
202	0.008110374879
203	0.008043521816
204	0.007931415522
205	0.007842884756
206	0.007760092136
207	0.007681873571
208	0.007651009385
209	0.007545965115
210	0.007476064186
211	0.00738512607
212	0.007326373561
213	0.007269116287
214	0.00718801043
215	0.007118704607
216	0.007038551832
217	0.006949976783
218	0.00690749806
219	0.006814103309
220	0.006712907315
221	0.006646675162
222	0.006563211423
223	0.006527612134
224	0.006463090357
225	0.006411569497
226	0.006335119633
227	0.006252951004
228	0.006196640321
229	0.006139209696
230	0.006081280302
231	0.006023972757
232	0.005955749359
233	0.005899909416
234	0.005849190948
235	0.005777015975
236	0.005693971506
237	0.005643561639
238	0.005582136097
239	0.005530735713
240	0.005490518051
241	0.005435559309
242	0.005372022752
243	0.00531939261
244	0.005252698823
245	0.005200380728
246	0.005140996979
247	0.005103261768
248	0.005056292203
249	0.00500234758
250	0.004984963521
251	0.004945922765
252	0.004905073855
253	0.004848865079
254	0.004797698356
255	0.004750477103
256	0.004723741073
257	0.004675934355
258	0.00464110329
259	0.004623019542
260	0.004585005556
261	0.004546612582
262	0.004525915587
263	0.004515586195
264	0.004469927026
265	0.004430598283
266	0.004407433369
267	0.004379254826
268	0.004349299839
269	0.004297531074
270	0.004273878427
271	0.004246428628
272	0.004216155721
273	0.004182645067
274	0.004147328483
275	0.004113030478
276	0.004108113754
277	0.004103259807
278	0.004074089286
279	0.004045972105
280	0.004019799346
281	0.003988642147
282	0.003963088393
283	0.003922795114
284	0.003893944099
285	0.003862299513
286	0.003828119378
287	0.003797719323
288	0.003764114828
289	0.003760382693
290	0.003743153488
291	0.003721739123
292	0.003686031643
293	0.003653533716
294	0.003626949846
295	0.00359993215
296	0.003573824755
297	0.003565209925
298	0.003532178687
299	0.003511492305
