Feature
Patient_ID
Age
Age_Group
Gender
Height_cm
Weight_kg
BMI
Blood_Group
Ethnicity
Diabetes
Diabetes_Severity
Hypertension
Hypertension_Severity
Heart_Disease
Heart_Disease_Severity
Stroke
Stroke_Severity
COPD
COPD_Severity
Asthma
Asthma_Severity
Kidney_Disease
Kidney_Disease_Severity
Parkinsons
Parkinsons_Severity
Alzheimers
Alzheimers_Severity
Thyroid
Thyroid_Severity
Liver_Disease
Liver_Disease_Severity
Arthritis
Arthritis_Severity
Cancer
Cancer_Severity
Osteoporosis
Osteoporosis_Severity
Depression
Depression_Severity
Anemia
Anemia_Severity
Uses_Insulin
Uses_Metformin
Uses_Glimepiride
Uses_Amlodipine
Uses_Losartan
Uses_Aspirin
Uses_Atorvastatin
Uses_Salbutamol
Uses_Levodopa
Uses_Donepezil
Medication_Adherence
Smoking
Alcohol
Mobility
Memory_Status
Exercise_Level
Diet_Quality
Water_Intake_Liters
Baseline_Heart_Rate
Baseline_Systolic_BP
Baseline_Diastolic_BP
Baseline_SpO2
Baseline_Temperature
Baseline_Respiratory_Rate
Scenario
Timestamp
Heart_Rate
Systolic_BP
Diastolic_BP
SpO2
Temperature
Respiratory_Rate
Sleep_Hours
Activity_Steps
Pulse_Pressure
MAP
Heart_Rate_Deviation
Systolic_BP_Deviation
Diastolic_BP_Deviation
SpO2_Deviation
Temperature_Deviation
Respiratory_Deviation
Sleep_Quality
Sleep_Deficit
Activity_Level
Activity_Deficit
Comorbidity_Count
High_Risk_Disease_Count
Fever_Flag
Low_Oxygen_Flag
Tachycardia_Flag
Hypertension_Flag
Vital_Abnormality_Count
